person_id,姓名,性别,年龄,年龄段,家庭状态,职业大类,occupation_code,具体职位,home_place_id,work_place_id,school_place_id,sociability,routine_preference,spontaneity,travel_tolerance,nightlife_preference,activity_budget,family_orientation,warmth,directness,patience,communication_style,employer_id,personality_summary
P05368,李婷乐,女,40,40-45,有未成年孩子,上班族,office_worker,销售经理,PL_W704229392,PL_W661950642,PL_W163146271,0.35,0.78,0.50,0.62,0.45,0.64,0.74,0.58,0.16,0.31,克制务实,ORG_UNRES_W661950642,性格偏安静，更喜欢小范围交往和熟悉的人。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式克制务实，重视家庭联系。
P05369,李清,男,20,18-24,无需要照顾的孩子,服务业者,service_worker,收银员,PL_W34777544,PL_N13753656633,,0.60,0.26,0.57,0.56,0.77,0.56,0.68,0.67,0.61,0.25,克制务实,ORG_N13753656633,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，重视家庭联系，喜欢晚间外出。
P05370,王豪豪,男,29,25-29,无需要照顾的孩子,体力劳动者,manual_worker,搬运工,PL_W31617605,PL_W34516886,,0.26,0.20,0.65,0.28,0.71,0.48,0.66,0.30,0.30,0.66,克制务实,ORG_UNRES_W34516886,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；更偏好住处或工作地点附近的活动。交流方式克制务实，喜欢晚间外出。
P05371,徐彤可,女,45,40-45,无需要照顾的孩子,上班族,office_worker,客户专员,PL_W662143209,PL_W106099920,,0.40,0.71,0.31,0.60,0.54,0.10,0.12,0.44,0.44,0.63,克制务实,ORG_W106099920,社交态度适中，既愿意参加活动，也需要独处时间。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P05372,刘嘉若,女,31,30-34,无需要照顾的孩子,上班族,office_worker,高级数据分析师,PL_W662143276,PL_W69341524,,0.12,0.73,0.33,0.37,0.30,0.77,0.35,0.63,0.43,0.88,沉稳耐心,ORG_UNRES_W69341524,性格偏安静，更喜欢小范围交往和熟悉的人。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式沉稳耐心，处理分歧时较有耐心。
P05373,周佑可,男,20,18-24,无需要照顾的孩子,自由业者,freelancer,自由销售,PL_W705507606,PL_W678928089,,0.57,0.28,0.45,0.39,0.79,0.76,0.41,0.28,0.40,0.35,克制务实,ORG_UNRES_W678928089,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，喜欢晚间外出。
P05374,周婷清,女,37,35-39,有未成年孩子,上班族,office_worker,会计,PL_W31619296,PL_W34615187,PL_W195969125,0.61,0.74,0.29,0.68,0.56,0.70,0.35,0.47,0.20,0.70,沉稳耐心,ORG_W34615187,社交态度适中，既愿意参加活动，也需要独处时间。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式沉稳耐心，处理分歧时较有耐心。
P05375,王浩然,男,32,30-34,有未成年孩子,服务业者,service_worker,房产经纪,PL_W170055111,PL_W238469268,PL_N2377305503,0.43,0.39,0.57,0.50,0.55,0.38,0.76,0.31,0.51,0.64,克制务实,ORG_UNRES_W238469268,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，重视家庭联系。
P05376,张涵言,女,26,25-29,无需要照顾的孩子,上班族,office_worker,软件工程师,PL_W661045307,PL_W297194551,,0.31,0.20,0.64,0.61,0.61,0.13,0.46,0.24,0.69,0.27,直接简洁,ORG_UNRES_W297194551,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式直接简洁，生活取向相对均衡。
P05377,张一博,男,30,30-34,无需要照顾的孩子,体力劳动者,manual_worker,搬运工,PL_W660078026,PL_W657935207,,0.92,0.48,0.41,0.59,0.56,0.80,0.14,0.13,0.55,0.21,健谈外向,ORG_W657935207,性格较为外向，通常愿意主动联系熟人并参加共同活动。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式健谈外向，生活取向相对均衡。
P05378,吴乐彤,女,38,35-39,有未成年孩子,体力劳动者,manual_worker,快递员,PL_W41405413,PL_W226512035,PL_W36747098,0.25,0.42,0.46,0.47,0.54,0.26,0.84,0.63,0.61,0.47,克制务实,ORG_UNRES_W226512035,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，重视家庭联系。
P05379,李思嘉,女,42,40-45,有未成年孩子,上班族,office_worker,高级数据分析师,PL_W31617617,PL_W659599068,PL_W36370852,0.32,0.62,0.43,0.59,0.32,0.14,0.37,0.36,0.51,0.53,克制务实,ORG_N11891397695,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P05380,黄若嘉,女,19,18-24,有未成年孩子,大学生,university_student,本科生,PL_W704196063,PL_W23447424,PL_W36728598,0.36,0.18,0.78,0.31,0.41,0.54,0.39,0.16,0.69,0.81,直接简洁,ORG_W23447424,社交态度适中，既愿意参加活动，也需要独处时间。行动比较随性，容易接受临时邀约，也愿意尝试计划外活动；更偏好住处或工作地点附近的活动。交流方式直接简洁，处理分歧时较有耐心。
P05381,朱晨,女,26,25-29,无需要照顾的孩子,自由业者,freelancer,自媒体从业者,PL_W32667520,PL_W32667520,,0.73,0.54,0.33,0.67,0.75,0.47,0.66,0.52,0.60,0.11,健谈外向,ORG_W32667520,性格较为外向，通常愿意主动联系熟人并参加共同活动。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式健谈外向，喜欢晚间外出。
P05382,王晨宁,女,34,30-34,有未成年孩子,服务业者,service_worker,酒店服务人员,PL_W705507615,PL_W148646768,PL_W36747398,0.78,0.40,0.66,0.65,0.56,0.78,0.61,0.33,0.36,0.70,沉稳耐心,ORG_W148646768,性格较为外向，通常愿意主动联系熟人并参加共同活动。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式沉稳耐心，生活取向相对均衡。
P05383,王宇,男,33,30-34,有未成年孩子,服务业者,service_worker,健身教练,PL_W702160080,PL_N2998787138,PL_W33725547,0.48,0.75,0.32,0.58,0.40,0.69,0.98,0.14,0.73,0.42,直接简洁,ORG_N2998787138,社交态度适中，既愿意参加活动，也需要独处时间。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式直接简洁，重视家庭联系。
P05384,李晨,男,27,25-29,无需要照顾的孩子,服务业者,service_worker,酒店前台,PL_W659448380,PL_W32742026,,0.61,0.33,0.56,0.55,0.58,0.58,0.04,0.44,0.25,0.70,沉稳耐心,ORG_W32742026,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式沉稳耐心，生活取向相对均衡。
P05385,黄言涵,男,27,25-29,有未成年孩子,上班族,office_worker,客户专员,PL_W34229574,PL_W670272332,PL_W201704236,0.36,0.60,0.60,0.44,0.41,0.70,0.34,0.22,0.27,0.34,克制务实,ORG_N3330175421,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P05386,李轩嘉,男,43,40-45,有未成年孩子,上班族,office_worker,财务主管,PL_W661074595,PL_W661077827,PL_W26949764,0.38,0.70,0.38,0.53,0.29,0.59,0.67,0.51,0.60,0.49,克制务实,ORG_W661077827,社交态度适中，既愿意参加活动，也需要独处时间。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P05387,杨一涵,男,28,25-29,有未成年孩子,服务业者,service_worker,厨师,PL_W31373437,PL_N6337090043,PL_W35798021,0.42,0.43,0.45,0.31,0.71,0.76,0.52,0.53,0.09,0.42,克制务实,ORG_N6337090043,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；更偏好住处或工作地点附近的活动。交流方式克制务实，喜欢晚间外出。
P05388,朱曦琪,女,25,25-29,无需要照顾的孩子,上班族,office_worker,财务专员,PL_W662095185,PL_W1541291357,,0.63,0.98,0.11,0.46,0.70,0.38,0.12,0.16,0.23,0.44,克制务实,ORG_N7570784647,社交态度适中，既愿意参加活动，也需要独处时间。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式克制务实，喜欢晚间外出。
P05389,李婷怡,女,39,35-39,无需要照顾的孩子,上班族,office_worker,高级运营专员,PL_W705519678,PL_W31926230,,0.30,0.61,0.37,0.24,0.37,0.47,0.40,0.32,0.57,0.64,克制务实,ORG_N7751985864,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；更偏好住处或工作地点附近的活动。交流方式克制务实，生活取向相对均衡。
P05390,郑语,女,38,35-39,无需要照顾的孩子,服务业者,service_worker,餐厅服务员,PL_W660584579,PL_N7551831495,,0.16,0.11,0.58,0.56,0.12,0.13,0.10,0.55,0.54,0.58,克制务实,ORG_N7551831495,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P05391,李阳轩,男,34,30-34,无需要照顾的孩子,体力劳动者,manual_worker,维修技师,PL_W41405389,PL_W659970395,,0.46,0.57,0.43,0.63,0.46,0.25,0.77,0.05,0.43,0.72,沉稳耐心,ORG_UNRES_W659970395,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式沉稳耐心，重视家庭联系，处理分歧时较有耐心。
P05392,李远,女,29,25-29,无需要照顾的孩子,上班族,office_worker,高级数据分析师,PL_W31757256,PL_W301310697,,0.90,0.61,0.29,0.41,0.56,0.70,0.79,0.73,0.23,0.88,温和体贴,ORG_W301310697,性格较为外向，通常愿意主动联系熟人并参加共同活动。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式温和体贴，重视家庭联系，处理分歧时较有耐心。
P05393,罗羽星,女,30,30-34,有未成年孩子,服务业者,service_worker,房产经纪,PL_W705170958,PL_W598637694,PL_W705563025,0.53,0.57,0.51,0.67,0.53,0.69,0.76,0.23,0.73,0.13,直接简洁,ORG_N803168349,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式直接简洁，重视家庭联系。
P05394,高远辰,女,28,25-29,无需要照顾的孩子,服务业者,service_worker,房产经纪,PL_W659454370,PL_N6547252195,,0.77,0.49,0.58,0.69,0.60,0.36,0.30,0.42,0.57,0.42,健谈外向,ORG_N6547252195,性格较为外向，通常愿意主动联系熟人并参加共同活动。通常会做基本安排，但遇到合适机会也愿意临时调整；对较远的出行接受度较高。交流方式健谈外向，生活取向相对均衡。
P05395,胡阳文,男,39,35-39,有未成年孩子,上班族,office_worker,HR经理,PL_W705010177,PL_W684783109,PL_W24159328,0.31,0.66,0.23,0.27,0.41,0.42,0.53,0.84,0.70,0.73,坦率热情,ORG_W663827867,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；更偏好住处或工作地点附近的活动。交流方式坦率热情，处理分歧时较有耐心。
P05396,唐彤婷,女,27,25-29,无需要照顾的孩子,上班族,office_worker,销售代表,PL_W659448619,PL_W663314286,,0.52,0.38,0.53,0.33,0.51,0.85,0.32,0.59,0.33,0.80,沉稳耐心,ORG_W663314286,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；更偏好住处或工作地点附近的活动。交流方式沉稳耐心，处理分歧时较有耐心。
P05397,李若可,女,34,30-34,无需要照顾的孩子,体力劳动者,manual_worker,建筑工人,PL_W659728375,PL_W659732177,,0.63,0.70,0.24,0.52,0.52,0.29,0.67,0.77,0.44,0.58,温和体贴,ORG_UNRES_W659732177,社交态度适中，既愿意参加活动，也需要独处时间。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式温和体贴，生活取向相对均衡。
P05398,李嘉天,男,35,35-39,无需要照顾的孩子,服务业者,service_worker,酒店前台,PL_W33036594,PL_W67138242,,0.57,0.74,0.25,0.42,0.49,0.72,0.27,0.74,0.37,0.68,温和体贴,ORG_W67138242,社交态度适中，既愿意参加活动，也需要独处时间。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式温和体贴，生活取向相对均衡。
P05399,刘清佳,女,26,25-29,无需要照顾的孩子,服务业者,service_worker,房产经纪,PL_W31754502,PL_W115222031,,0.88,0.51,0.35,0.73,0.84,0.81,0.45,0.67,0.42,0.40,健谈外向,ORG_W60170480,性格较为外向，通常愿意主动联系熟人并参加共同活动。通常会做基本安排，但遇到合适机会也愿意临时调整；对较远的出行接受度较高。交流方式健谈外向，喜欢晚间外出。
P05400,刘欣源,女,38,35-39,无需要照顾的孩子,服务业者,service_worker,理发师,PL_W660866938,PL_N1370527806,,0.65,0.41,0.49,0.56,0.53,0.72,0.62,0.20,0.22,0.72,沉稳耐心,ORG_N1370527806,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式沉稳耐心，处理分歧时较有耐心。
P05401,韩辰曦,女,33,30-34,有未成年孩子,体力劳动者,manual_worker,电工,PL_W661920924,PL_W243113647,PL_W170266806,0.30,0.36,0.51,0.41,0.37,0.49,0.50,0.45,0.29,0.88,沉稳耐心,ORG_UNRES_W243113647,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式沉稳耐心，处理分歧时较有耐心。
P05402,谢晓,女,45,40-45,无需要照顾的孩子,自由业者,freelancer,独立程序员,PL_W706192716,PL_W706192716,,0.06,0.58,0.37,0.26,0.39,0.65,0.19,0.69,0.51,0.34,温和体贴,ORG_UNRES_W706192716,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；更偏好住处或工作地点附近的活动。交流方式温和体贴，生活取向相对均衡。
P05403,王佳,女,37,35-39,有未成年孩子,上班族,office_worker,销售经理,PL_W1163968779,PL_W55461754,PL_W688267158,0.53,0.53,0.46,0.33,0.59,0.75,0.25,0.75,0.33,0.44,温和体贴,ORG_W55461754,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；更偏好住处或工作地点附近的活动。交流方式温和体贴，生活取向相对均衡。
P05404,张思安,女,20,18-24,无需要照顾的孩子,大学生,university_student,本科生,PL_W706236185,PL_N2375249754,PL_N2375249754,0.50,0.21,0.83,0.44,0.67,0.33,0.44,0.84,0.28,0.67,温和体贴,ORG_N2375249754,社交态度适中，既愿意参加活动，也需要独处时间。行动比较随性，容易接受临时邀约，也愿意尝试计划外活动；对出行距离没有明显偏好。交流方式温和体贴，生活取向相对均衡。
P05405,李涵可,女,30,30-34,有未成年孩子,服务业者,service_worker,房产经纪,PL_W702169774,PL_W532023361,PL_W24501824,0.67,0.83,0.45,0.60,0.63,0.27,0.61,0.25,0.21,0.41,克制务实,ORG_UNRES_W532023361,性格较为外向，通常愿意主动联系熟人并参加共同活动。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P05406,徐瑶宁,女,37,35-39,有未成年孩子,体力劳动者,manual_worker,电工,PL_W706192709,PL_W657697672,PL_W225936203,0.64,0.78,0.35,0.66,0.50,0.45,0.45,0.58,0.25,0.33,克制务实,ORG_UNRES_W657697672,社交态度适中，既愿意参加活动，也需要独处时间。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P05407,高楷心,男,42,40-45,有未成年孩子,服务业者,service_worker,零售店员,PL_W661957290,PL_N3886265327,PL_W36331867,0.60,0.31,0.57,0.56,0.69,0.21,0.61,0.19,0.35,0.23,克制务实,ORG_N3886265327,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，喜欢晚间外出。
P05408,陈瑶嘉,女,41,40-45,无需要照顾的孩子,自由业者,freelancer,独立承包商,PL_W660079777,PL_W660079777,,0.85,0.34,0.60,0.46,0.66,0.85,0.29,0.42,0.60,0.27,健谈外向,ORG_UNRES_W660079777,性格较为外向，通常愿意主动联系熟人并参加共同活动。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式健谈外向，生活取向相对均衡。
P05409,林辰婷,女,41,40-45,无需要照顾的孩子,服务业者,service_worker,酒店服务人员,PL_W421650404,PL_W150506087,,0.62,0.78,0.33,0.33,0.50,0.34,0.86,0.54,0.68,0.53,克制务实,ORG_W150506087,社交态度适中，既愿意参加活动，也需要独处时间。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；更偏好住处或工作地点附近的活动。交流方式克制务实，重视家庭联系。
P05410,张嫣嫣,女,34,30-34,无需要照顾的孩子,上班族,office_worker,行政专员,PL_W658973736,PL_N12149933050,,0.44,0.77,0.38,0.76,0.48,0.48,0.44,0.48,0.31,0.21,克制务实,ORG_N12149933050,社交态度适中，既愿意参加活动，也需要独处时间。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对较远的出行接受度较高。交流方式克制务实，生活取向相对均衡。
P05411,袁星心,女,37,35-39,有未成年孩子,上班族,office_worker,运营专员,PL_W659446795,PL_N6376145766,PL_W75367984,0.65,0.25,0.62,0.78,0.44,0.47,0.48,0.92,0.45,0.29,温和体贴,ORG_N6376145766,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对较远的出行接受度较高。交流方式温和体贴，生活取向相对均衡。
P05412,黄若安,女,42,40-45,有未成年孩子,服务业者,service_worker,咖啡师,PL_W661276211,PL_N6845091823,PL_W34073293,0.59,0.98,0.35,0.33,0.41,0.68,0.98,0.73,0.23,0.39,温和体贴,ORG_N6845091823,社交态度适中，既愿意参加活动，也需要独处时间。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；更偏好住处或工作地点附近的活动。交流方式温和体贴，重视家庭联系。
P05413,李远,男,29,25-29,有未成年孩子,大学生,university_student,博士研究生,PL_W659455085,PL_W61759776,PL_W34229259,0.44,0.74,0.36,0.38,0.57,0.69,0.98,0.77,0.54,0.75,温和体贴,ORG_W61759776,社交态度适中，既愿意参加活动，也需要独处时间。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式温和体贴，重视家庭联系，处理分歧时较有耐心。
P05414,赵知婷,女,31,30-34,有未成年孩子,自由业者,freelancer,独立承包商,PL_W661331627,PL_W41285778,PL_W703423111,0.54,0.35,0.57,0.55,0.29,0.55,0.93,0.81,0.23,0.59,温和体贴,ORG_UNRES_W41285778,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式温和体贴，重视家庭联系。
P05415,吴博志,男,32,30-34,有未成年孩子,上班族,office_worker,设计师,PL_W170051471,PL_W31620396,PL_W35800153,0.26,0.88,0.35,0.29,0.43,0.48,0.67,0.55,0.14,0.41,克制务实,ORG_W31620396,性格偏安静，更喜欢小范围交往和熟悉的人。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；更偏好住处或工作地点附近的活动。交流方式克制务实，生活取向相对均衡。
P05416,陈晨雅,女,38,35-39,无需要照顾的孩子,服务业者,service_worker,客服,PL_W705529516,PL_N6994226891,,0.46,0.48,0.71,0.59,0.52,0.47,0.56,0.25,0.76,0.44,直接简洁,ORG_N6994226891,社交态度适中，既愿意参加活动，也需要独处时间。行动比较随性，容易接受临时邀约，也愿意尝试计划外活动；对出行距离没有明显偏好。交流方式直接简洁，生活取向相对均衡。
P05417,李涵哲,男,38,35-39,有未成年孩子,自由业者,freelancer,自媒体从业者,PL_W661821367,PL_W661821367,PL_W688047029,0.82,0.21,0.74,0.63,0.56,0.28,0.98,0.43,0.35,0.70,沉稳耐心,ORG_UNRES_W661821367,性格较为外向，通常愿意主动联系熟人并参加共同活动。行动比较随性，容易接受临时邀约，也愿意尝试计划外活动；对出行距离没有明显偏好。交流方式沉稳耐心，重视家庭联系，处理分歧时较有耐心。
P05418,宋远,女,21,18-24,无需要照顾的孩子,上班族,office_worker,产品经理,PL_W31616723,PL_W162607309,,0.58,0.44,0.58,0.66,0.61,0.46,0.42,0.23,0.47,0.28,克制务实,ORG_W162607309,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P05419,孙羽梦,女,39,35-39,无需要照顾的孩子,自由业者,freelancer,咨询顾问,PL_W662762451,PL_N5594977293,,0.57,0.28,0.66,0.70,0.60,0.42,0.33,0.56,0.75,0.61,直接简洁,ORG_N5594977293,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对较远的出行接受度较高。交流方式直接简洁，生活取向相对均衡。
P05420,李知,女,21,18-24,无需要照顾的孩子,上班族,office_worker,销售代表,PL_W661565911,PL_W262740197,,0.72,0.84,0.34,0.67,0.73,0.69,0.64,0.63,0.14,0.64,健谈外向,ORG_N572859658,性格较为外向，通常愿意主动联系熟人并参加共同活动。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式健谈外向，喜欢晚间外出。
P05421,徐欣梦,女,34,30-34,有未成年孩子,上班族,office_worker,产品经理,PL_W31451019,PL_W62058574,PL_W43605743,0.34,0.63,0.47,0.56,0.32,0.11,0.73,0.53,0.41,0.50,克制务实,ORG_W62058574,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，重视家庭联系。
P05422,郑婉乐,女,41,40-45,有未成年孩子,自由业者,freelancer,独立程序员,PL_W659839843,PL_W40544281,PL_W33396453,0.77,0.02,0.69,0.69,0.72,0.60,0.79,0.41,0.60,0.42,健谈外向,ORG_UNRES_W40544281,性格较为外向，通常愿意主动联系熟人并参加共同活动。行动比较随性，容易接受临时邀约，也愿意尝试计划外活动；对较远的出行接受度较高。交流方式健谈外向，重视家庭联系，喜欢晚间外出。
P05423,李涵,女,35,35-39,有未成年孩子,体力劳动者,manual_worker,配送员,PL_W659830402,PL_W32610595,PL_W36332039,0.42,0.52,0.60,0.62,0.39,0.13,0.95,0.61,0.24,0.84,沉稳耐心,ORG_UNRES_W32610595,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式沉稳耐心，重视家庭联系，处理分歧时较有耐心。
P05424,王彤可,女,40,40-45,有未成年孩子,服务业者,service_worker,酒店前台,PL_W704196075,PL_W231983646,PL_W36747401,0.40,0.61,0.32,0.62,0.42,0.18,0.48,0.58,0.25,0.49,克制务实,ORG_W231983646,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P05425,杨哲星,男,44,40-45,有未成年孩子,自由业者,freelancer,摄影师,PL_W704946498,PL_W704196077,PL_W36747401,0.55,0.56,0.39,0.54,0.51,0.54,0.60,0.45,0.82,0.55,直接简洁,ORG_N8149797432,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式直接简洁，生活取向相对均衡。
P05426,张语桐,女,22,18-24,无需要照顾的孩子,服务业者,service_worker,零售店员,PL_W662726537,PL_N4327307014,,0.41,0.30,0.51,0.41,0.47,0.16,0.42,0.33,0.57,0.70,沉稳耐心,ORG_N4327307014,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式沉稳耐心，生活取向相对均衡。
P05427,罗桐心,女,31,30-34,有未成年孩子,上班族,office_worker,运营专员,PL_W31451094,PL_W27991582,PL_W24725316,0.19,0.45,0.49,0.33,0.26,0.61,0.48,0.33,0.64,0.44,克制务实,ORG_W27991582,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；更偏好住处或工作地点附近的活动。交流方式克制务实，生活取向相对均衡。
P05428,罗然一,男,44,40-45,有未成年孩子,服务业者,service_worker,保安,PL_W705507593,PL_W231773826,PL_W35836274,0.15,0.67,0.26,0.47,0.21,0.33,0.61,0.75,0.26,0.31,温和体贴,ORG_W231773826,性格偏安静，更喜欢小范围交往和熟悉的人。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式温和体贴，生活取向相对均衡。
P05429,林乐梦,女,29,25-29,无需要照顾的孩子,服务业者,service_worker,咖啡师,PL_W391472124,PL_N5260039172,,0.28,0.25,0.73,0.41,0.55,0.57,0.52,0.49,0.46,0.49,克制务实,ORG_N5260039172,性格偏安静，更喜欢小范围交往和熟悉的人。行动比较随性，容易接受临时邀约，也愿意尝试计划外活动；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P05430,张佳远,女,42,40-45,有未成年孩子,上班族,office_worker,高级运营专员,PL_W662143865,PL_N7764644698,PL_W224695919,0.53,0.78,0.32,0.41,0.52,0.31,0.49,0.46,0.35,0.46,克制务实,ORG_N7764644698,社交态度适中，既愿意参加活动，也需要独处时间。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P05431,王轩,男,26,25-29,无需要照顾的孩子,自由业者,freelancer,摄影师,PL_W659333500,PL_W659333500,,0.20,0.17,0.73,0.43,0.55,0.50,0.40,0.65,0.39,0.45,克制务实,ORG_UNRES_W659333500,性格偏安静，更喜欢小范围交往和熟悉的人。行动比较随性，容易接受临时邀约，也愿意尝试计划外活动；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P05432,林晴琪,女,27,25-29,无需要照顾的孩子,体力劳动者,manual_worker,安装工,PL_W661065765,PL_W115222390,,0.31,0.76,0.26,0.51,0.67,0.35,0.59,0.73,0.55,0.26,温和体贴,ORG_W115222390,性格偏安静，更喜欢小范围交往和熟悉的人。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式温和体贴，生活取向相对均衡。
P05433,陈雅宁,女,25,25-29,无需要照顾的孩子,服务业者,service_worker,厨师,PL_W31811113,PL_W31728160,,0.64,0.45,0.56,0.37,0.53,0.64,0.30,0.32,0.34,0.78,沉稳耐心,ORG_W31728160,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式沉稳耐心，处理分歧时较有耐心。
